00> [OTA] seq=69  , [RX] 0x18DA03F1, 11 02 36 05 07 49 08 70
00> [OTA] seq=70  , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=71  , [TX] 0x18DAF103, 02 76 05 AA AA AA AA AA (ACK, seq=5)
00> [OTA] seq=72  , [RX] 0x18DA03F1, 21 00 F0 10 F8 25 68 0D
00> [OTA] seq=73  , [RX] 0x18DA03F1, 22 B9 01 F0 40 FD 04 48
00> [OTA] seq=74  , [RX] 0x18DA03F1, 28 3F 02 D1 4F F0 A5 30
00> [OTA] seq=75  , [RX] 0x18DA03F1, 29 01 E0 4F F0 5A 30 05
00> [OTA] seq=76  , [RX] 0x18DA03F1, 2A 46 00 F0 34 FD 01 20
00> [OTA] seq=77  , [RX] 0x18DA03F1, 2B 00 F0 AF FB 00 BF 4F
00> [OTA] seq=78  , [RX] 0x18DA03F1, 21 00 BF 00 BF 00 BF 00
00> [OTA] seq=79  , [RX] 0x18DA03F1, 22 BF BF F3 4F 8F 00 BF
00> [OTA] seq=80  , [RX] 0x18DA03F1, 23 00 BF 00 BF 0A 48 00
00> [OTA] seq=81  , [RX] 0x18DA03F1, 29 FD E7 00 00 0C ED 00
00> [OTA] seq=82  , [RX] 0x18DA03F1, 2A E0 00 00 FA 05 2D E9
00> [OTA] seq=83  , [RX] 0x18DA03F1, 20 F1 01 0F 02 D0 B9 F1
00> [OTA] seq=84  , [RX] 0x18DA03F1, 21 01 0F 08 D1 01 27 06
00> [OTA] seq=85  , [RX] 0x18DA03F1, 22 E0 31 46 28 46 02 F0
00> [OTA] seq=86  , [RX] 0x18DA03F1, 23 DC F9 01 28 00 D1 01
00> [OTA] seq=87  , [RX] 0x18DA03F1, 24 27 01 2F 0B D1 00 20
00> [OTA] seq=88  , [RX] 0x18DA03F1, 11 02 36 06 01 E0 00 BF
00> [OTA] seq=89  , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=90  , [TX] 0x18DAF103, 02 76 06 AA AA AA AA AA (ACK, seq=6)
00> [OTA] seq=91  , [RX] 0x18DA03F1, 21 40 1C 05 49 09 68 42
00> [OTA] seq=92  , [RX] 0x18DA03F1, 22 F2 10 72 B1 FB F2 F1
00> [OTA] seq=93  , [RX] 0x18DA03F1, 28 D0 43 4D 2D 78 05 F0
00> [OTA] seq=94  , [RX] 0x18DA03F1, 29 07 05 05 2D 15 D2 DF
00> [OTA] seq=95  , [RX] 0x18DA03F1, 2A E8 05 F0 03 06 09 0D
00> [OTA] seq=96  , [RX] 0x18DA03F1, 2B 10 00 3E 4D 05 60 3B
00> [OTA] seq=97  , [RX] 0x18DA03F1, 21 C5 F3 C0 13 32 4D 26
00> [OTA] seq=98  , [RX] 0x18DA03F1, 22 3D D5 F8 00 51 2A 0F
00> [OTA] seq=99  , [RX] 0x18DA03F1, 23 30 4D DA 35 2D 68 C5
00> [OTA] seq=100 , [RX] 0x18DA03F1, 2E 3E 05 68 36 6A C6 F3
00> [OTA] seq=101 , [RX] 0x18DA03F1, 2F 02 66 F5 40 45 60 19
00> [OTA] seq=102 , [RX] 0x18DA03F1, 20 4E 26 3E 05 68 36 6A
00> [OTA] seq=103 , [RX] 0x18DA03F1, 21 C6 F3 02 56 F5 40 85
00> [OTA] seq=104 , [RX] 0x18DA03F1, 11 02 36 07 05 68 36 6A
00> [OTA] seq=105 , [TX] 0x18DAF103, 30 00 00 00 AA AA AA AA (FC)
00> [OTA] seq=106 , [TX] 0x18DAF103, 02 76 07 AA AA AA AA AA (ACK, seq=7)
00> [OTA] seq=107 , [RX] 0x18DA03F1, 21 C6 F3 02 16 F5 40 05
00> [OTA] seq=108 , [RX] 0x18DA03F1, 22 61 0D 4E 26 3E 05 68
00> [OTA] seq=109 , [RX] 0x18DA03F1, 28 E0 36 6A C6 F3 02 46
00> [OTA] seq=110 , [RX] 0x18DA03F1, 29 F5 40 C5 61 70 BD 00
00> [OTA] seq=111 , [RX] 0x18DA03F1, 2A 00 26 40 05 40 00 24
00> [OTA] seq=112 , [RX] 0x18DA03F1, 2B F4 00 00 12 7A 00 70
00> [OTA] seq=113 , [RX] 0x18DA03F1, 21 00 BF 34 B1 01 2C 0D
