00> [OTA] seq=5496, time= 49.797s, [RX] 0x18DA03F1, 29 78 EC 04 00 86 B0 00 <-- CF
00> [OTA] seq=5497, time= 49.800s, [RX] 0x18DA03F1, 2A BF 00 20 02 90 03 90 <-- CF
00> [OTA] seq=5498, time= 49.803s, [RX] 0x18DA03F1, 2B 04 90 05 90 00 BF 02 <-- CF
00> [OTA] seq=5499, time= 49.806s, [RX] 0x18DA03F1, 2C A8 01 F0 15 FD 01 F0 <-- CF
00> [OTA] seq=5500, time= 49.808s, [RX] 0x18DA03F1, 2D EB FC 00 BF 00 20 00 <-- CF
00> [OTA] seq=5501, time= 49.812s, [RX] 0x18DA03F1, 2E 90 01 90 00 BF 01 20 <-- CF
00> [OTA] seq=5502, time= 49.815s, [RX] 0x18DA03F1, 2F 8D F8 00 00 6A 46 40 <-- CF
00> [OTA] seq=5503, time= 49.818s, [RX] 0x18DA03F1, 20 21 01 F0 3D FB 00 BF <-- CF
00> [OTA] seq=5504, time= 49.840s, [RX] 0x18DA03F1, 21 0D 4C 00 BF 01 F0 62 <-- CF
00> [OTA] seq=5505, time= 49.843s, [RX] 0x18DA03F1, 22 FD 4F F4 7A 70 02 F0 <-- CF
00> [OTA] seq=5506, time= 49.844s, [RX] 0x18DA03F1, 23 D2 FB 62 B6 10 E0 09 <-- CF
00> [OTA] seq=5507, time= 49.845s, [RX] 0x18DA03F1, 24 48 00 78 20 B1 00 20 <-- CF
00> [FW] >>> OnTransferData: seq=4, len=256
00> [OTA] seq=5508, time= 49.858s, [TX] 0x18DAF103, 03 76 76 04 AA AA AA AA 
00> [OTA] seq=5509, time= 49.879s, [RX] 0x18DA03F1, 11 02 36 05 07 49 08 70 <-- FF TransferData
00> [OTA] FF: response_id=0x18DAF103
00> [OTA] FC: dst_id=0x18DAF103 bs=0 stmin=5
00> [OTA] seq=5510, time= 49.879s, [TX] 0x18DAF103, 30 00 05 AA AA AA AA AA 
00> [OTA] seq=5511, time= 49.879s, [RX] 0x18DA03F1, 21 00 F0 10 F8 65 68 0D <-- CF
00> [OTA] seq=5512, time= 49.879s, [RX] 0x18DA03F1, 22 B9 01 F0 40 FD 04 48 <-- CF
00> [OTA] seq=5513, time= 49.879s, [RX] 0x18DA03F1, 23 00 68 08 B1 00 F0 07 <-- CF
00> [OTA] seq=5514, time= 49.879s, [RX] 0x18DA03F1, 24 F8 ED E7 00 6F 02 20 <-- CF
00> [OTA] seq=5515, time= 49.879s, [RX] 0x18DA03F1, 25 10 80 FF 1F 14 80 FF <-- CF
